citing_doi,ref_doi,ref_key,ref_author,ref_year,ref_title,ref_journal,raw,citing_affiliations,citing_affiliation_countries,citing_latitude_mean,citing_longitude_mean,citing_affiliation_locations_json,citing_journal_name,row_type,doi,cited_by_count,publication_year,counts_by_year_json,open_access_json,best_oa_location_json,updated_utc
10.1002/jemt.24453,10.3390/cryst12020156,e_1_2_9_50_1,,,,,,"Brno University of Technology; Central European Institute of Technology; Czech Academy of Sciences, Institute of Physics of Materials; Ruhr University Bochum",AT; CZ; DE,,,,Microscopy Research and Technique,map,10.3390/cryst12020156,0,,[],{},{},2026-05-24T20:26:54Z
10.1007/978-3-031-63937-1_2,10.3390/cryst12020156,2_CR30,,,,,"Thome, P., Schneider, M., Yardley, V., Payton, E., & Eggeler, G. (2022). Crystallographic analysis of plate and lath martensite in Fe-Ni alloys. Crystals, 12, 156.",University of Arizona,US,,,,"The minerals, metals & materials series",map,10.3390/cryst12020156,0,,[],{},{},2026-05-24T20:26:54Z
10.1007/978-3-031-63937-1_73,10.1016/j.scriptamat.2017.04.018,73_CR5,V Miller,2017.0,,Scripta Materialia,"V. Miller, E. Payton, A. Pilchak, Reduction in the thermodynamic nucleation barrier via the heteroepitaxial recrystallization mechanism, Scripta Materialia 136 (2017) 128–131.",University of Cincinnati; University of Florida,US,,,,"The minerals, metals & materials series",map,10.1016/j.scriptamat.2017.04.018,0,,[],{},{},2026-05-24T20:26:54Z
10.1007/978-3-031-63937-1_73,10.1007/s11661-011-1035-y,73_CR14,,,,,"S. L. Semiatin, K. E. McClary, A. D. Rollett, C. G. Roberts, E. J. Payton, F. Zhang, T. P. Gabb, Microstructure Evolution during Supersolvus Heat Treatment of a Powder Metallurgy Nickel-Base Superalloy, Metallurgical and Materials Transactions A 43 (2012) 1649–1661. ADS Bibcode: 2012MMTA...43.1649S.",University of Cincinnati; University of Florida,US,,,,"The minerals, metals & materials series",map,10.1007/s11661-011-1035-y,0,,[],{},{},2026-05-24T20:26:54Z
10.1007/s11182-023-03075-z,10.3390/cryst12020156,3075_CR8,P Thome,2022.0,,Crystals,"P. Thome, M. Schneider, V. A.Yardley, E. J. Payton, and G. Eggeler, Crystals, 12, 156 (2022). https://doi.org/10.3390/cryst12020156.",Ural Federal University,RU,,,,Russian Physics Journal,map,10.3390/cryst12020156,0,,[],{},{},2026-05-24T20:26:54Z
10.1007/s11182-024-03201-5,10.3390/cryst12020156,3201_CR10,P Thome,2022.0,,Crystals,"P. Thome, M. Schneider, V. A.Yardley, E. J. Payton, and G. Eggeler, Crystals, 12, 156 (2022). https://doi.org/https://doi.org/10.3390/cryst12020156.",Ural Federal University,RU,,,,Russian Physics Journal,map,10.3390/cryst12020156,0,,[],{},{},2026-05-24T20:26:54Z
10.1007/s11661-025-07705-8,10.1016/j.ijrmhm.2022.105968,7705_CR25,ON Senkov,2022.0,,Int. J. Refract. Met. Hard Mater.,"O.N. Senkov, T. Daboiku, T.M. Butler, S.I. Rao, and E.J. Payton: Int. J. Refract. Met. Hard Mater., 2022, vol. 109, p. 105968. https://doi.org/10.1016/j.ijrmhm.2022.105968.",Case Western Reserve University; University of Cincinnati,US,,,,Metallurgical and Materials Transactions A,map,10.1016/j.ijrmhm.2022.105968,0,,[],{},{},2026-05-24T20:26:54Z
10.1016/j.mtla.2025.102561,10.1007/s11661-017-4031-z,10.1016/j.mtla.2025.102561_bib0027,Coutinho,2017.0,Analysis of EBSD grain size measurements using microstructure simulations and a customizable pattern matching library for grain perimeter estimation,Metall. Mater. Trans. A,,Inha University; Seoul National University,KR,,,,Materialia,map,10.1007/s11661-017-4031-z,0,,[],{},{},2026-05-24T20:26:54Z
10.1016/j.prostr.2025.07.013,10.3390/cryst12020156,10.1016/j.prostr.2025.07.013_bib14,Thome,2022.0,Crystallographic Analysis of Plate and Lath Martensite in Fe-Ni Alloys,Crystals,,Ural Federal University; Ural State Forestry Engineering University,RU,,,,Procedia Structural Integrity,map,10.3390/cryst12020156,0,,[],{},{},2026-05-24T20:26:54Z
10.1126/sciadv.adp7670,10.1016/j.mtla.2023.101688,e_1_3_2_9_2,,,,,,"Lawrence Berkeley National Laboratory; University of California, Berkeley",US,,,,Science Advances,map,10.1016/j.mtla.2023.101688,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.1007/s11661-011-1035-y,0,,[],{},{},2026-05-24T20:26:54Z
